RAISONSOC,TEL,ADRCP
"But Lexy",0382232905,54000
"But Luneville",0383744343,54000
"But Vandoeuvre",0383510099,54000
"But Verdun",0329843135,55000
"But Lanester",0297768686,56000
"But Pontivy",99999,56000
"But Vannes",0297408840,56000
"But Forbach",0387875236,57000
"But Metz Actisud",0387635110,57000
"But St-Avold",0387929240,57000
"But Imling",0387257180,57000
"But Sarreguemines",0387950343,57000
"But Terville",0382540303,57000
"But Cosne-Sur-Loire",0386395986,58000
"But Nevers",0386570325,58000
"But Proville",0327816572,59000
"But Fourmies",0327608110,59000
"But Lille",0320541812,59000
"But Roubaix",0320735151,59000
"But La Sentinelle",0327212900,59000
"But Beauvais",0344121400,60000
"But Arçonnay",0233804303,61000
"But Arras",0321584500,62000
"But Fouquieres-Les-Bethune",0321016300,62000
"But Pont-De-Briques",0321922184,62000
"But Calais",0321973613,62000
"But Clermont-Ferrand",0473236580,63000
"But Aubiere",0473286528,63000
"But Bayonne",0559522360,64000
"But Ibos",0562906000,65000
"But Perpignan Nord",0468611802,66
"But Perpignan Sud",0468556880,66
"But Schweighouse",0388726350,67
"But Selestat",0388588410,67
"But Vendenheim",0388184200,67
"But Fegersheim",0388685151,67
"But Colmar",1213141516,68000
"But Kingersheim",0389507650,68000
"But Givors",0478730417,69000
"But St-Bonnet-De-Mûre",0478409733,69000
"But Villefranche-Sur-Saône",0474603320,69000
"But Gray",0384655797,70000
"But Vesoul",0384764310,70000
"But Chalon-Sur-Saône",0385468080,71000
"But Digoin",#,71000
"But Creches-Sur-Saône",0385371618,71000
"But Montceau-Les-Mines",0385582800,71000
"But Arnage",0243212320,72000
"But Sable-Sur-Sarthe",0243951169,72
"But Albertville",0479325738,73000
"But St-Alban/Leysse",0479751122,73000
"But Sillingy",0450240074,74000
"But Cranves Sales",0450367561,74000
"But Cluses",0450184910,74000
"But Thonon-Les-Bains",0450503723,74000
"But St-Aubin-Sur-Scie",0235825240,76000
"But Le Havre",0235133600,76000
"But Barentin",0232949610,76000
"But Tourville-La-Riviere",0232965296,76000
"But Bressuire",0549821340,79000
"But Niort",0549178300,79000
"But Amiens",0322388080,80000
"But Puygouzon",0563476247,81000
"But Castres",0563591713,81000
"But Montauban",-,82000
"But Puget-Sur-Argens",0494455551,83000
"But Sollies-Pont",0494135280,83000
"But Sorgues",0490037979,84000
"But Challans",0251686800,85000
"But Fontenay-Le-Comte",0251694276,85000
"But Montaigu",0251940212,85000
"But Chatellereault",0549212222,86000
"But Chasseneuil",0549527067,86
"But Couzeix",0549527067,87000
"But Epinal",0329313333,88000
"But Dommartin",0329232424,88000
"But Saint-Die",-,88000
"But St-Clement",0386658000,89
"But Chelles",-,77000
"But Meaux",0164334888,77000
"But Nemours",0164285272,77000
"But Provins",0164602550,77000
"But Magnanville",0130983939,78000
"But Corbeil Nord",0160893472,91000
"But Quincy-S/s-Senart",0169003300,91000
"But Longpont",0164496330,91000
"But Sainte-Genevieve-Les-Bois",0169468686,91000
"But Aulnay-Sous-Bois",0148142380,93000
"But Bobigny",0141830300,93000
"But Stains",0148210855,93000
"But Fresnes",0149849191,94000
"But Kremlin-Bicetre",0145152626,94000
"But La-Queue-En-Brie",0149620660,94000
"But Beaumont",0139377100,95000
"But Osny",0134201770,95000
